# Fundamentals snapshot — source: stockanalysis.com, prices/close Jun 25 2026.
# Reproducible INPUT for scoring/score_holdings.py. Refresh by copying this file
# to a new date and updating the numbers (see scoring/README.md / AGENTS.md).
# The loader skips these leading '#' lines.
#
# Columns:
#   ticker
#   mktcap_b          : market cap, USD billions. FX applied: EUR ~1.08,
#                       KRW ~1350/USD, HKD ~7.8/USD (foreign caps converted).
#   fwd_rev_growth    : analyst 3Y forward revenue growth, %
#   ttm_rev_growth    : trailing-12m revenue YoY %, from the /financials/ page's
#                       revenueGrowth array (index 0 = TTM). Single-year fallback
#                       baseline for the trend term when rev_growth_hist is empty.
#   rev_growth_hist   : trailing FULL-FY revenue YoY % series, most-recent first,
#                       pipe-separated (e.g. CCJ '11.04|21.18|38.53|26.65|-18.06').
#                       Sourced with ttm by `score_holdings.py --fill-ttm`. Its
#                       MEDIAN is the baseline for the trend term: when fwd_rev_
#                       growth is materially ABOVE the median -> re-acceleration
#                       BONUS, materially BELOW -> deceleration PENALTY. Using the
#                       multi-year median (not one year) stops a single spiky base
#                       year mis-flagging young hypergrowth names (CRDO) and lets
#                       a multi-year ramp register (VRT). Kept OUTSIDE the numeric
#                       schema so it does not affect the data% coverage metric.
#                       Blank only for pre-revenue names with no FY history.
#   fwd_eps_growth    : analyst 3Y forward EPS growth, %
#   gross_margin      : gross margin %, ttm
#   net_margin        : GAAP profit margin %, ttm. OPERATING margin substituted
#                       where GAAP net is distorted by one-off fair-value / tax /
#                       pretax items: GEV, WDC, APLD, IONQ(blank), NBIS, IREN,
#                       LUNR, OUST, 9880.HK. Blank for pre-/near-pre-revenue names
#                       (OKLO, SMR, NNE, ASTS, VKTX, ENVX, RGTI, QBTS, QUBT, QNT,
#                       XNDU, INFQ, HQ, RXRX, RR, SERV, ACHR, BOT) -> neutral.
#   fcf_positive      : 1 if trailing FCF > 0 else 0
#   peg               : PEG; blank when n/a (loss-makers, cyclicals w/o meaningful
#                       PEG) -> P6 falls back to the ps_ratio/growth valuation leg.
#   ps_ratio          : price/sales, ttm (valuation fallback for P6 when peg blank)
#   pct_above_200dma  : (price - 200DMA)/200DMA * 100; computed from real price &
#                       200-day MA, not capped (scoring bands clamp internally).
#                       Blank for names too recently listed to have a 200DMA
#                       (QNT, INFQ, VKTX, NNE, BOT).
#   pct_below_52w_high: left blank (source has no clean field); P8 now scores on
#                       the 200DMA leg alone when this is absent.
#   eps_beat_rate     : 0..1 fraction of recent quarters beaten; blank = neutral.
#                       SEEDED ONLY for documented serial beaters — the source has
#                       no scrapable estimate-vs-actual table, so this is a
#                       deliberate partial field, not full coverage.
#   eps_beat_streak   : consecutive recent EPS beats; blank = neutral.
#
ticker,mktcap_b,fwd_rev_growth,ttm_rev_growth,fwd_eps_growth,gross_margin,net_margin,fcf_positive,peg,ps_ratio,pct_above_200dma,pct_below_52w_high,eps_beat_rate,eps_beat_streak,rev_growth_hist
META,1380,20.72,26.18,12.00,81.94,32.84,1,0.79,6.41,-16.6,,0.88,6,22.17|21.94|15.69|-1.12|37.18
ORCL,439.16,39.40,17.35,27.29,65.82,25.37,0,0.69,6.52,-25.1,,,,17.35|8.38|6.02|17.71|4.84
S,5.13,17.96,21.38,50.90,73.25,-30.38,1,0.39,4.89,-3.2,,,,21.89|32.25|47.13|106.14|120.08
PANW,238.87,19.26,19.52,12.87,71.96,7.95,1,4.93,22.52,48.0,,0.75,5,14.87|16.46|25.29|29.26|24.87
CRWD,172.76,22.25,23.17,29.67,75.14,-0.60,1,4.66,33.91,37.2,,0.75,4,21.71|29.39|36.33|54.4|66.0
NOW,92.32,19.74,21.72,20.23,76.56,12.59,1,0.83,6.61,-33.7,,0.88,6,20.89|22.44|23.82|22.88|30.47
ZS,20.02,19.42,24.61,18.44,76.74,-2.44,1,1.21,6.31,-40.7,,,,23.31|34.06|48.22|62.08|56.07
PLTR,257.16,53.03,67.71,58.97,84.07,43.67,1,1.32,49.22,-32.6,,,,56.18|28.79|16.74|23.61|41.11
SNOW,78.70,26.83,31.07,42.87,67.15,-23.79,1,3.43,15.64,10.4,,,,29.16|29.22|35.86|69.41|105.95
DDOG,78.65,23.62,29.54,20.17,79.91,3.69,1,3.30,21.42,44.2,,,,27.68|26.12|27.06|62.82|70.48
TMDX,2.69,18.50,30.25,20.53,59.09,14.85,1,,4.23,-32.1,,,,37.13|82.74|158.53|208.83|18.03
AXON,35.85,30.15,34.0,26.07,59.46,0.29,1,1.81,12.02,-17.4,,0.88,7,33.47|33.44|31.47|37.5|26.78
IONQ,18.87,69.96,334.58,,36.11,,0,,100.86,2.0,,,,201.85|95.41|98.02|430.3
RKLB,46.71,39.51,45.83,,36.56,-31.55,0,,68.73,8.0,,,,37.96|78.34|15.92|239.02|77.01
SYM,24.57,25.89,21.52,-23.56,20.41,-0.29,1,0.25,9.76,-29.6,,,,25.65|51.94|98.36|135.52|173.56
CRCL,17.10,25.60,51.46,9.67,8.11,-2.76,1,,5.98,-30.1,,,,63.86|15.57|87.87|809.61|449.69
LEU,3.35,-0.22,-4.05,1.13,25.67,13.40,0,21.83,7.41,-31.0,,,,1.52|38.04|8.99|-1.51|20.67
SNDK,345.79,83.99,82.76,298.20,56.04,34.19,1,0.04,26.23,256.8,,,,10.39|9.48|-37.6
WDC,232.79,34.49,32.04,73.11,45.43,31.26,1,0.69,19.77,143.0,,,,50.7|0.99|-66.72|11.06|1.11
STX,231.99,33.10,28.92,73.07,41.57,21.60,1,0.67,21.07,133.6,,,,38.86|-11.28|-36.68|9.18|1.64
ARM,371.38,29.07,22.79,31.32,97.54,18.37,1,5.19,75.48,101.5,,,,22.79|23.94|20.68|-0.89|33.35
QCOM,215.96,1.58,5.21,0.07,54.80,22.31,1,6.16,4.85,22.1,,,,13.66|8.77|-18.96|31.68|42.65
ADI,203.57,18.97,29.75,29.59,64.49,26.01,1,1.34,15.98,33.1,,,,16.89|-23.39|2.43|64.16|30.61
KLAC,338.06,17.03,13.39,21.71,61.45,35.66,1,3.03,25.81,75.2,,,,23.89|-6.51|13.94|33.14|19.16
LRCX,502.50,25.02,26.53,33.24,49.98,30.94,1,2.41,23.18,86.2,,,,23.68|-14.48|1.17|17.78|45.61
AMAT,530.36,19.93,3.33,27.83,48.96,29.31,1,1.81,18.28,104.3,,,,4.39|2.48|2.84|11.8|34.07
AAPL,4040,10.43,12.76,13.04,47.86,27.15,1,2.63,8.95,2.2,,,,6.43|2.02|-2.8|7.79|33.26
CSCO,468.91,8.88,9.21,11.25,64.30,19.69,1,2.82,7.72,42.1,,,,5.3|-5.61|10.55|3.49|1.05
TXN,283.78,13.04,14.89,27.02,57.32,29.11,1,1.80,15.39,46.5,,,,13.05|-10.72|-12.53|9.18|26.85
INTC,667.80,11.14,1.35,75.60,37.20,-5.90,0,1.69,12.42,130.2,,,,-0.47|-2.08|-14.0|-20.21|1.49
005930.KS,1692.2,40.10,26.05,109.77,47.68,21.46,1,0.08,5.88,92.3,,,,10.88|16.2|-14.32|8.09|18.07
1810.HK,73.5,12.66,10.81,10.27,22.06,7.96,1,1.20,1.13,-44.0,,,,24.97|35.04|-3.24|-14.7|33.53
SNPS,87.13,19.40,39.51,16.49,82.60,8.91,1,1.20,10.04,-0.4,,0.75,5,15.12|15.22|15.21|9.79|14.08
TER,73.88,28.25,30.32,46.71,58.70,22.55,1,2.12,19.51,81.6,,,,13.13|5.37|-15.17|-14.79|18.63
CRWV,53.88,98.67,129.9,,69.38,-25.57,0,,8.65,-1.9,,,,167.94|736.25|1346.62
KTOS,8.68,24.52,21.82,36.31,22.89,2.08,0,,6.13,-41.9,,,,18.52|9.56|15.45|10.7|8.53
IREN,17.06,134.29,103.99,,68.40,-29.36,0,,22.54,-2.3,,,,167.65|147.91|27.88|595.68|287.58
CIFR,10.50,70.86,37.96,180.20,12.37,-4.43,0,,50.06,45.9,,,,48.04|19.26|4076.56
LSCC,19.76,29.17,17.45,45.57,68.44,3.46,1,2.08,34.42,54.2,,,,2.72|-30.9|11.63|28.14|26.27
APLD,11.70,123.94,112.04,,45.41,-11.92,0,,36.65,28.8,,,,5.54|146.64|547.94
BWXT,18.76,12.54,21.37,13.41,22.66,10.20,1,3.55,5.56,3.6,,,,18.3|8.31|11.8|5.12|0.03
SMR,3.68,114.51,-61.93,,23.84,,0,,197.14,-50.2,,,,-15.02|62.41|93.24|312.44|377.0
RGTI,6.12,141.23,8.75,,29.95,,0,,610.97,-22.8,,,,-34.31|-10.14|-8.35
QBTS,8.12,79.46,-41.75,,66.27,,0,,652.24,-8.8,,,,178.54|0.79|22.1|14.24|21.69
QUBT,2.05,343.60,1025.71,,-15.39,,0,,473.03,-22.4,,,,82.84|4.19|163.23
ENVX,1.29,95.50,49.88,,21.55,,0,,37.49,-21.8,,,,37.91|201.86|23.25
QNT,18.73,,,,74.38,,0,,1096.35,,,,,34.61
XNDU,3.63,63.13,222.97,,93.70,,0,,537.51,-1.8,,,,190.56|-35.9
INFQ,2.79,26.44,,,31.01,,0,,83.00,,,,,12.58
HQ,1.34,134.30,-84.44,,100.00,,0,,34461.65,105.2,,,,-85.26|596.35
VKTX,4.29,,,,,,0,,,13.5,,,,
LUNR,4.06,87.78,53.82,,9.70,-28.83,0,,12.14,1.2,,,,-7.87|186.61|-7.44
SERV,0.46,273.08,297.78,,,,0,,87.82,-44.4,,,,46.22|773.55|92.49
ACHR,3.64,1071.52,,,15.79,,0,,1914.99,-37.5,,,,
PENG,3.39,14.78,2.27,17.60,28.32,4.07,1,,2.51,139.7,,,,16.91|-18.77|3.25|32.24|-5.96
SIE.DE,226.7,6.40,2.41,4.06,38.84,9.69,1,3.20,2.63,12.0,,,,3.93|1.4|4.04|15.6|12.69
PNR,12.28,3.95,3.1,8.61,41.22,15.97,1,1.28,2.92,-21.0,,,,2.28|-0.53|-0.42|9.48|24.75
RBRK,14.62,22.34,45.73,,80.58,-20.25,1,,10.26,6.3,,,,48.46|41.19|4.68|18.51|30.53
NET,80.11,28.14,31.55,31.75,73.33,-3.72,1,4.06,34.40,9.1,,,,29.85|28.75|32.97|48.57|52.28
OKTA,20.73,9.74,11.75,11.38,77.44,8.24,1,1.17,6.92,35.9,,,,11.84|15.33|21.8|42.92|55.69
KLIC,6.88,28.02,11.16,177.76,49.80,7.16,1,,8.96,103.6,,,,-7.38|-4.88|-50.62|-0.92|143.54
NVMI,16.98,17.92,21.32,18.84,57.31,29.21,1,2.70,18.81,29.4,,0.88,8,30.96|29.83|-9.25|37.16|54.46
AMKR,21.22,10.82,12.71,24.39,14.43,6.17,1,1.90,3.00,74.5,,,,6.18|-2.85|-8.3|15.53|21.54
AAOI,11.12,,64.32,,29.64,-8.55,0,,21.93,74.4,,,,82.75|14.57|-2.32|5.32|-9.83
AEHR,3.11,27.01,-26.39,25.99,30.72,-25.23,0,,68.66,111.2,,,,-10.95|1.93|27.8|206.2|-25.53
ICHR,3.31,15.18,7.52,67.46,12.00,-5.28,0,0.77,3.45,137.6,,,,11.62|4.67|-36.63|16.7|19.98
NBIS,65.71,242.77,453.18,,72.06,-70.55,0,,74.85,98.8,,,,479.02|833.67|-27.41|-99.72|61.28
TEM,9.85,22.17,69.82,,63.39,-22.20,0,,7.22,-13.9,,,,83.41|30.38|65.85|24.36|37.15
RXRX,1.77,27.20,11.07,,,,0,,26.69,-19.1,,,,26.92|32.0|11.88|291.46|156.89
VPG,1.78,8.82,7.51,84.45,39.24,1.85,0,5.86,5.57,146.7,,,,0.22|-13.67|-2.08|14.05|17.83
MCHP,51.02,18.07,7.08,41.70,57.73,4.88,1,0.99,10.83,28.6,,,,7.08|-42.34|-9.53|23.72|25.42
9880.HK,6.0,72.95,53.29,,36.31,-35.14,0,,20.95,-24.2,,,,53.29|23.65|4.7|23.38|10.4
OUST,2.66,33.26,57.34,,47.69,-30.12,0,,14.37,54.0,,,,52.46|33.41|102.98|22.19|77.62
RR,0.42,23.57,12.41,,55.83,,0,,85.63,-44.4,,,,18.99|-51.59|44.8|0.3
PWR,107.83,16.94,21.09,22.43,15.10,3.67,1,2.85,3.58,35.5,,,,20.31|13.36|22.3|31.54|15.87
MTSI,29.77,23.11,27.05,32.56,55.68,16.46,1,2.09,27.72,72.3,,,,32.58|12.52|-3.96|11.24|14.51
ASTS,25.47,198.40,1732.08,,44.82,,0,,299.86,-19.0,,,,1505.21|11.45|107.89
NNE,1.08,,,,,,0,,,-33.3,,,,
BOT,0.58,,,,,,0,,,,,,,
ON,46.53,10.40,,35.02,42.67,9.46,1,1.13,7.68,69.7,,,,
SMCI,20.49,40.60,,21.66,8.39,3.70,0,0.37,0.61,-10.5,,,,
